Number of rooms,Area (m2),Price (€),Price per m2 (€),Zone,Link
1,47,40016,851,Nufarul 2,https://www.storia.ro/ro/oferta/anastasia-residence-oradea-1-camera-IDkVxo.html#4781572e85
1,57,45423,881,Nufarul 2,https://www.storia.ro/ro/oferta/anastasia-residence-oradea-2-camere-IDkYQ3.html#4781572e85
3,82,76300,930,Rogerius,https://www.storia.ro/ro/oferta/apartament-3-camere-confort-1-rogerius-IDlMFY.html#4781572e85
3,116,119000,1026,Dorobantilor,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-prima-premium-str-sucevei-IDhOF2.html#4781572e85
4,115,58000,504,Seleus,https://www.storia.ro/ro/oferta/apartament-4-camere-de-vanzare-str-seleusului-oradea-IDg9cP.html#4781572e85
4,144,115000,799,Subcetate,https://www.storia.ro/ro/oferta/apartament-4-camere-cladire-istorica-oradea-zona-piata-1-decembrie-IDivNG.html#4781572e85
4,116,69000,595,Rogerius,https://www.storia.ro/ro/oferta/apartament-4-camere-de-vanzare-zona-rogerius-perla-IDeVyK.html#4781572e85
2,63,53500,849,Subcetate,https://www.storia.ro/ro/oferta/apartament-2-camere-de-vanzare-piata-1-decembrie-oradea-IDiFFW.html#4781572e85
1,50,56900,1138,Orasul Nou,https://www.storia.ro/ro/oferta/apartament-1-camera-de-vanzare-str-republicii-pietonal-IDhPeZ.html#4781572e85
3,82,83000,1012,Universitatii,https://www.storia.ro/ro/oferta/apartament-3-camere-mansarda-de-vanzare-oradea-str-mimozei-IDlcbV.html#4781572e85
4,139,185000,1331,Olosig,https://www.storia.ro/ro/oferta/apartament-parcul-traian-ultracentral-oradea-IDhCM7.html#4781572e85
3,105,117000,1114,Nufarul,https://www.storia.ro/ro/oferta/apartament-nou-deosebit-3-camere-de-vanzare-prima-nufarul-IDgF8U.html#4781572e85
4,130,115000,885,Olosig,https://www.storia.ro/ro/oferta/apartament-lux-4-camere-la-casa-str-castanilor-IDbCHp.html#4781572e85
5,220,125000,568,Olosig,https://www.storia.ro/ro/oferta/casa-la-curte-comuna-dar-cu-acces-separat-zona-centrala-oradea-IDieDj.html#4781572e85
4,200,95000,475,Subcetate,https://www.storia.ro/ro/oferta/apartament-garsoniera-la-casa-de-vanzare-parc-1-decembrie-oradea-IDgRKQ.html#4781572e85
3,88,63500,722,Oradea,https://www.storia.ro/ro/oferta/sapient-apartament-3-camere-str-sovata-IDhP68.html#4781572e85
3,80,88900,1111,Europa,https://www.storia.ro/ro/oferta/apartament-3-camere-ultracentral-IDm5F9.html#4781572e85
3,95,73500,774,Oradea,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-str-lapusului-iosia-residence-IDiiNY.html#4781572e85
4,136,79000,581,Orasul Nou,https://www.storia.ro/ro/oferta/apartament-la-casa-de-vanzare-piata-unirii-oradea-IDfDKr.html#4781572e85
4,100,86000,860,Nufarul,https://www.storia.ro/ro/oferta/apartament-4-camere-de-vanzare-zona-nufarul-IDl4om.html#4781572e85
4,124,115000,927,Subcetate,https://www.storia.ro/ro/oferta/apartament-cu-4-camere-ultracentral-IDli96.html#4781572e85
3,80,76500,956,Calea Aradului,https://www.storia.ro/ro/oferta/apartament-cu-3-camere-decomandat-etaj-intermediar-IDlmZv.html#4781572e85
3,90,72500,806,Olosig,https://www.storia.ro/ro/oferta/vand-apartament-3-camere-strada-republicii-IDh21V.html#4781572e85
3,100,84000,840,Decebal-Dacia,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-bdul-dacia-oradea-IDkLOf.html#4781572e85
2,102,87600,859,Splaiul Crisanei,https://www.storia.ro/ro/oferta/apartament-cu-2-camere-bloc-nou-zona-decebal-IDlUrb.html#4781572e85
